"gene"	"B6_2ng_B6_NT1"	"B6_10ng_B6_NT1"	"B6_10ng_B6_2ng"	"B6_50ng_B6_NT1"	"B6_50ng_B6_2ng"	"B6_50ng_B6_10ng"	"1h_NT1_B6_NT1"	"1h_NT1_B6_2ng"	"1h_NT1_B6_10ng"	"1h_NT1_B6_50ng"	"1h_2ng_B6_NT1"	"1h_2ng_B6_2ng"	"1h_2ng_B6_10ng"	"1h_2ng_B6_50ng"	"1h_2ng_1h_NT1"	"1h_10ng_B6_NT1"	"1h_10ng_B6_2ng"	"1h_10ng_B6_10ng"	"1h_10ng_B6_50ng"	"1h_10ng_1h_NT1"	"1h_10ng_1h_2ng"	"1h_50ng_B6_NT1"	"1h_50ng_B6_2ng"	"1h_50ng_B6_10ng"	"1h_50ng_B6_50ng"	"1h_50ng_1h_NT1"	"1h_50ng_1h_2ng"	"1h_50ng_1h_10ng"
"Ccl3"	"-1.417970"	"-0.967362"	NA	NA	" 0.779525"	NA	NA	" 1.263890"	"  0.813279"	NA	"-1.643420"	NA	NA	" -1.004970"	"-1.489330"	NA	"  1.304090"	" 0.853479"	NA	NA	" 1.529530"	NA	" 1.554880"	" 1.104280"	" 0.775359"	NA	" 1.780330"	NA
"Gdpd1"	" 0.833048"	" 1.243650"	NA	" 1.226520"	NA	NA	NA	"-1.164020"	" -1.574620"	" -1.557500"	NA	NA	NA	NA	" 0.906929"	" 0.896247"	NA	NA	NA	" 1.227220"	NA	NA	NA	"-0.797097"	"-0.779974"	" 0.777521"	NA	NA
"Arl5c"	" 1.843400"	" 3.026160"	" 1.182760"	" 2.581900"	NA	NA	NA	"-2.595200"	" -3.777960"	" -3.333700"	" 1.211380"	NA	"-1.814790"	" -1.370530"	" 1.963170"	" 2.553880"	NA	NA	NA	" 3.305680"	" 1.342510"	" 1.695240"	NA	"-1.330920"	NA	" 2.447040"	NA	NA
"Gm22059,Med24"	" 1.131580"	NA	"-1.006190"	NA	NA	NA	NA	"-0.983015"	NA	NA	NA	NA	NA	NA	NA	NA	" -0.923957"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Kpna2"	" 0.935430"	NA	NA	NA	"-1.449860"	NA	" 0.844428"	NA	NA	"  1.358860"	" 1.424600"	NA	" 1.203320"	"  1.939030"	NA	NA	NA	NA	" 1.227390"	NA	NA	NA	"-0.991918"	NA	NA	"-0.900916"	"-1.481090"	"-0.769451"
"Cd300lf"	"-1.059180"	"-2.130600"	"-1.071420"	"-1.068810"	NA	" 1.061790"	NA	" 0.883632"	"  1.955050"	"  0.893260"	"-0.906126"	NA	" 1.224470"	NA	NA	"-1.177670"	NA	" 0.952926"	NA	"-1.002120"	NA	NA	" 0.988767"	" 2.060190"	" 0.998395"	NA	" 0.835711"	" 1.107260"
"Aatk"	"-0.797105"	"-1.729860"	"-0.932756"	"-1.728080"	NA	NA	NA	NA	"  1.711950"	"  1.710170"	NA	NA	" 1.213690"	NA	NA	"-2.454980"	" -1.657880"	NA	NA	"-2.437070"	"-1.938810"	NA	NA	" 1.089320"	NA	NA	NA	" 1.814440"
"Sdc1"	" 2.703860"	" 5.490880"	" 2.787010"	" 6.851040"	" 4.147170"	" 1.360160"	NA	"-2.804410"	" -5.591420"	" -6.951580"	" 2.913300"	NA	"-2.577580"	" -3.937740"	" 3.013840"	" 5.771920"	"  3.068060"	NA	"-1.079110"	" 5.872470"	" 2.858630"	" 5.992490"	" 3.288630"	NA	NA	" 6.093040"	" 3.079200"	NA
"Rrm2"	" 0.978504"	NA	"-1.033740"	"-2.322910"	"-3.301420"	"-2.267670"	" 1.073290"	NA	"  1.128530"	"  3.396200"	" 1.580470"	NA	" 1.635710"	"  3.903390"	NA	NA	NA	NA	" 2.636800"	"-0.759403"	"-1.266590"	NA	"-1.599550"	NA	" 1.701870"	"-1.694330"	"-2.201520"	"-0.934932"
"Cmpk2"	" 1.685010"	" 5.300540"	" 3.615530"	" 7.700950"	" 6.015930"	" 2.400410"	NA	"-2.027970"	" -5.643500"	" -8.043910"	" 2.691210"	" 1.006190"	"-2.609330"	" -5.009740"	" 3.034170"	" 7.085110"	"  5.400100"	" 1.784570"	NA	" 7.428070"	" 4.393900"	" 7.852450"	" 6.167430"	" 2.551910"	NA	" 8.195410"	" 5.161240"	NA
"Nrcam"	"-1.684280"	"-3.969530"	NA	"-4.065800"	NA	NA	NA	" 1.978940"	"  4.264180"	"  4.360460"	NA	NA	NA	NA	"-1.250560"	"-4.117970"	NA	NA	NA	"-4.412630"	NA	NA	NA	NA	NA	NA	NA	NA
"Frmd6"	"-1.565200"	"-1.865810"	NA	NA	NA	" 1.179610"	NA	" 1.813040"	"  2.113650"	"  0.934038"	NA	NA	" 1.127120"	NA	"-0.986537"	"-1.034750"	NA	NA	NA	"-1.282590"	NA	NA	" 1.333450"	" 1.634060"	NA	NA	NA	NA
"Fos"	" 1.486910"	" 2.227210"	NA	" 2.845120"	" 1.358210"	NA	NA	"-1.225220"	" -1.965520"	" -2.583430"	" 1.578400"	NA	NA	" -1.266720"	" 1.316710"	" 2.555280"	"  1.068370"	NA	NA	" 2.293590"	" 0.976875"	" 1.991600"	NA	NA	NA	" 1.729910"	NA	NA
"Cipc"	"-0.894089"	"-1.210990"	NA	NA	NA	NA	NA	" 0.953285"	"  1.270180"	NA	NA	NA	NA	NA	"-0.763395"	"-0.868681"	NA	NA	NA	"-0.927877"	NA	NA	" 0.792993"	" 1.109890"	NA	NA	NA	" 0.767585"
"Gpr65"	" 0.895514"	" 1.521160"	NA	" 1.194130"	NA	NA	NA	"-0.999289"	" -1.624930"	" -1.297900"	" 0.793062"	NA	NA	NA	" 0.896838"	" 1.644720"	NA	NA	NA	" 1.748490"	" 0.851655"	" 0.921860"	NA	NA	NA	" 1.025640"	NA	NA
"Traf3"	" 1.291910"	" 1.410570"	NA	" 2.158910"	" 0.867000"	" 0.748339"	NA	"-0.840703"	" -0.959365"	" -1.707700"	" 1.385950"	NA	NA	" -0.772951"	" 0.934753"	" 1.172350"	NA	NA	"-0.986553"	NA	NA	" 0.973818"	NA	NA	"-1.185090"	NA	NA	NA
"Tnfaip2"	" 1.247400"	" 2.184120"	NA	" 2.899240"	" 1.651830"	NA	NA	"-1.773790"	" -2.710500"	" -3.425620"	NA	NA	"-1.564430"	" -2.279550"	" 1.146070"	" 1.305070"	NA	NA	"-1.594170"	" 1.831450"	NA	" 1.334180"	NA	NA	"-1.565060"	" 1.860560"	NA	NA
"4930427A07Rik"	" 1.000170"	NA	NA	NA	"-1.864750"	NA	" 1.218750"	NA	"  1.053460"	"  2.083330"	" 1.708290"	NA	" 1.543000"	"  2.572870"	NA	NA	NA	NA	NA	"-0.927955"	"-1.417500"	NA	"-1.277560"	NA	NA	"-1.496140"	"-1.985690"	NA
"Lpin1"	"-0.816159"	"-2.609000"	"-1.792840"	"-4.028890"	"-3.212730"	"-1.419890"	NA	NA	"  2.131260"	"  3.551150"	"-1.336690"	NA	" 1.272310"	"  2.692200"	"-0.858949"	"-3.325240"	" -2.509080"	NA	NA	"-2.847500"	"-1.988550"	"-0.987737"	NA	" 1.621260"	" 3.041160"	NA	NA	" 2.337500"
"Adam17"	" 0.964836"	" 1.482140"	NA	" 2.871900"	" 1.907070"	" 1.389760"	NA	NA	" -1.373200"	" -2.762960"	" 0.978617"	NA	NA	" -1.893280"	NA	" 1.111350"	NA	NA	"-1.760560"	" 1.002410"	NA	NA	NA	NA	"-1.861520"	NA	NA	NA
"Id2"	"-0.807023"	"-1.701140"	"-0.894117"	"-1.031730"	NA	NA	NA	" 0.957662"	"  1.851780"	"  1.182370"	NA	NA	" 1.290930"	NA	NA	"-1.162350"	NA	NA	NA	"-1.312990"	NA	NA	NA	" 1.561780"	" 0.892380"	NA	NA	" 1.023000"
"Rsad2"	" 1.701800"	" 5.372340"	" 3.670540"	" 7.373830"	" 5.672020"	" 2.001480"	NA	"-1.923440"	" -5.593970"	" -7.595460"	" 2.547100"	" 0.845300"	"-2.825240"	" -4.826720"	" 2.768740"	" 7.447310"	"  5.745510"	" 2.074970"	NA	" 7.668940"	" 4.900210"	" 7.860570"	" 6.158770"	NA	NA	" 8.082210"	" 5.313470"	NA
"Hdac9"	"-1.170230"	"-2.605170"	"-1.434940"	"-1.829290"	NA	NA	NA	" 1.418630"	"  2.853570"	"  2.077690"	NA	NA	" 1.794350"	"  1.018470"	"-1.059220"	"-1.707740"	NA	NA	NA	"-1.956130"	NA	NA	NA	" 2.033950"	" 1.258070"	NA	NA	" 1.136520"
"Tspan13"	"-1.097720"	"-2.533450"	"-1.435730"	"-2.769550"	"-1.671840"	NA	NA	" 1.043990"	"  2.479720"	"  2.715830"	"-1.237880"	NA	" 1.295570"	"  1.531680"	"-1.184150"	"-2.109100"	" -1.011380"	NA	NA	"-2.055370"	"-0.871223"	NA	NA	" 1.861490"	" 2.097600"	NA	NA	" 1.437140"
"Nfkbia"	" 1.877700"	" 3.063690"	" 1.185990"	" 3.034960"	" 1.157260"	NA	NA	"-2.437520"	" -3.623520"	" -3.594780"	" 1.216860"	NA	"-1.846830"	" -1.818100"	" 1.776690"	" 2.807900"	NA	NA	NA	" 3.367730"	" 1.591040"	" 2.495920"	NA	NA	NA	" 3.055740"	NA	NA
"Irf2bpl"	"-1.318410"	"-1.498730"	NA	"-0.934459"	NA	NA	NA	" 1.631350"	"  1.811670"	"  1.247400"	NA	" 0.910018"	" 1.090340"	NA	NA	NA	"  0.837545"	" 1.017860"	NA	"-0.793807"	NA	NA	" 1.363020"	" 1.543340"	" 0.979069"	NA	NA	NA
"Fbln5"	"-1.891980"	"-2.948990"	NA	"-3.024520"	NA	NA	NA	" 1.714070"	"  2.771090"	"  2.846620"	"-2.171790"	NA	NA	NA	"-1.993880"	"-4.424680"	NA	NA	NA	"-4.246770"	NA	NA	NA	" 2.012060"	" 2.087600"	NA	NA	" 3.487750"
"Gpr132"	" 1.766200"	" 3.137800"	" 1.371600"	" 4.194900"	" 2.428700"	" 1.057090"	NA	"-1.901140"	" -3.272740"	" -4.329830"	" 1.640980"	NA	"-1.496820"	" -2.553910"	" 1.775920"	" 3.056440"	"  1.290240"	NA	"-1.138460"	" 3.191380"	" 1.415460"	" 3.325180"	" 1.558990"	NA	NA	" 3.460120"	" 1.684200"	NA
"Ighm"	"-1.337020"	"-3.585900"	"-2.248880"	"-7.137600"	"-5.800580"	"-3.551700"	"-0.817570"	NA	"  2.768330"	"  6.320030"	"-2.423240"	"-1.086220"	" 1.162660"	"  4.714360"	"-1.605670"	"-4.564070"	" -3.227060"	NA	" 2.573530"	"-3.746500"	"-2.140840"	"-1.052750"	NA	" 2.533150"	" 6.084860"	NA	" 1.370490"	" 3.511330"
"Ighv8-6"	" 0.000000"	NA	" 0.000000"	NA	" 0.000000"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 0.000000"	NA	NA	NA	NA	NA
"Gm20658"	" 1.898060"	" 1.860050"	NA	" 2.265010"	NA	NA	NA	"-1.890170"	" -1.852160"	" -2.257120"	NA	NA	NA	" -1.213470"	NA	NA	NA	NA	"-1.210210"	NA	NA	NA	NA	NA	"-1.434550"	NA	NA	NA
"Aoah"	" 1.999070"	" 2.785850"	" 0.786784"	" 3.460760"	" 1.461690"	NA	NA	"-2.345020"	" -3.131810"	" -3.806720"	" 1.512170"	NA	"-1.273680"	" -1.948590"	" 1.858130"	" 2.025810"	NA	NA	"-1.434950"	" 2.371760"	NA	" 1.687170"	NA	"-1.098680"	"-1.773590"	" 2.033130"	NA	NA
"Hist1h1c"	"-0.871969"	"-1.651300"	"-0.779328"	"-2.193130"	"-1.321160"	NA	NA	NA	"  1.375980"	"  1.917810"	"-1.070010"	NA	NA	"  1.123120"	"-0.794689"	"-2.045180"	" -1.173210"	NA	NA	"-1.769860"	"-0.975171"	NA	NA	" 0.994224"	" 1.536050"	NA	NA	" 1.388100"
"Cmah"	"-0.993725"	"-2.699190"	"-1.705470"	"-1.764030"	NA	NA	NA	" 1.005780"	"  2.711250"	"  1.776080"	"-1.097580"	NA	" 1.601620"	NA	"-1.109640"	"-3.593700"	" -2.599970"	NA	"-1.829670"	"-3.605750"	"-2.496120"	NA	NA	" 1.951240"	" 1.016080"	NA	NA	" 2.845750"
"Serpinb1b"	" 2.255030"	" 3.107490"	NA	" 4.076730"	" 1.821700"	NA	NA	NA	" -2.463980"	" -3.433220"	" 2.532960"	NA	NA	" -1.543770"	" 1.889450"	" 3.640910"	"  1.385880"	NA	NA	" 2.997400"	NA	" 3.309820"	NA	NA	NA	" 2.666310"	NA	NA
"Bphl"	"-0.779052"	"-1.398340"	NA	"-1.743630"	"-0.964577"	NA	NA	NA	"  1.148700"	"  1.493990"	"-0.964345"	NA	NA	NA	NA	"-1.703660"	" -0.924610"	NA	NA	"-1.454030"	NA	NA	NA	NA	" 1.055390"	NA	NA	" 1.015430"
"Phactr1"	" 2.879410"	" 3.370860"	NA	NA	NA	NA	NA	"-3.321430"	" -3.812880"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 2.770940"	NA	NA	NA	NA	NA	NA	NA	NA
"Rnf144b"	"-1.217030"	"-2.869040"	"-1.652010"	"-2.953920"	"-1.736890"	NA	NA	NA	"  2.215440"	"  2.300330"	"-1.512580"	NA	" 1.356460"	"  1.441340"	NA	"-2.835570"	" -1.618540"	NA	NA	"-2.181980"	"-1.322990"	NA	NA	" 2.030260"	" 2.115150"	NA	NA	" 1.996800"
"Ninj1"	" 0.897986"	" 1.834240"	NA	" 1.352840"	NA	NA	NA	"-1.187320"	" -2.123580"	" -1.642170"	NA	NA	"-1.414070"	NA	NA	" 1.264670"	NA	NA	NA	" 1.554010"	NA	NA	NA	"-1.152650"	NA	" 0.970926"	NA	NA
"Ell2"	" 0.809993"	" 1.941000"	" 1.131010"	" 3.096490"	" 2.286490"	" 1.155490"	NA	NA	" -1.429940"	" -2.585420"	" 1.540200"	NA	NA	" -1.556290"	" 1.029130"	" 2.575110"	"  1.765120"	NA	NA	" 2.064040"	" 1.034910"	" 2.233440"	" 1.423450"	NA	NA	" 1.722380"	NA	NA
"Glrx"	" 1.312720"	" 2.428870"	" 1.116150"	" 2.614910"	" 1.302190"	NA	NA	NA	" -1.886030"	" -2.072070"	" 1.873300"	NA	NA	NA	" 1.330460"	" 2.802880"	"  1.490160"	NA	NA	" 2.260040"	" 0.929583"	" 2.101780"	NA	NA	NA	" 1.558930"	NA	NA
"Arrdc3"	"-0.816442"	"-2.294620"	"-1.478180"	"-2.360620"	"-1.544180"	NA	NA	NA	"  1.905670"	"  1.971670"	"-0.831393"	NA	" 1.463230"	"  1.529230"	NA	"-1.812610"	" -0.996170"	NA	NA	"-1.423660"	"-0.981219"	NA	NA	" 1.896830"	" 1.962830"	NA	NA	" 1.414820"
"Enc1"	"-1.084540"	"-2.836530"	"-1.751980"	"-2.267520"	"-1.182980"	NA	NA	" 0.891531"	"  2.643520"	"  2.074510"	"-1.327700"	NA	" 1.508820"	"  0.939818"	"-1.134690"	"-2.331220"	" -1.246670"	NA	NA	"-2.138210"	"-1.003510"	NA	NA	" 2.274720"	" 1.705720"	NA	NA	" 1.769410"
"Sox4"	"-1.249910"	"-2.667180"	"-1.417270"	"-3.464440"	"-2.214530"	NA	NA	" 1.067110"	"  2.484380"	"  3.281640"	"-1.628710"	NA	" 1.038470"	"  1.835730"	"-1.445910"	"-2.382660"	" -1.132750"	NA	" 1.081780"	"-2.199860"	NA	NA	NA	" 1.946370"	" 2.743620"	NA	" 0.907895"	" 1.661840"
"Serpinb1a"	"-1.557460"	"-2.728430"	NA	"-3.192150"	"-1.634690"	NA	NA	" 1.789170"	"  2.960130"	"  3.423850"	"-1.160620"	NA	" 1.567810"	"  2.031530"	"-1.392330"	"-1.435370"	NA	" 1.293050"	" 1.756770"	"-1.667080"	NA	NA	NA	" 2.133360"	" 2.597080"	NA	NA	NA
"Ctla2b"	"-0.927366"	"-3.035340"	"-2.107970"	"-3.254040"	"-2.326680"	NA	NA	NA	"  2.769520"	"  2.988220"	"-1.116540"	NA	" 1.918800"	"  2.137500"	"-0.850720"	"-1.875180"	" -0.947816"	" 1.160160"	" 1.378860"	"-1.609360"	"-0.758642"	NA	NA	" 2.375680"	" 2.594390"	NA	NA	" 1.215530"
"Ctla2a"	"-1.452250"	"-1.589800"	NA	"-2.125250"	NA	NA	NA	" 1.219160"	"  1.356710"	"  1.892160"	"-1.885550"	NA	NA	NA	"-1.652470"	"-1.738300"	NA	NA	NA	"-1.505210"	NA	NA	NA	" 0.851852"	" 1.387300"	NA	" 1.147610"	" 1.000350"
"Ahrr"	" 1.072410"	" 1.273970"	NA	" 1.863980"	NA	NA	NA	"-1.245050"	" -1.446610"	" -2.036620"	NA	NA	NA	" -1.183840"	NA	" 0.964482"	NA	NA	"-0.899498"	" 1.137120"	NA	" 1.122550"	NA	NA	NA	" 1.295190"	NA	NA
"Ccnb1"	" 0.973806"	NA	"-1.263030"	"-2.760260"	"-3.734060"	"-2.471040"	" 0.813520"	NA	"  1.102740"	"  3.573780"	" 1.497760"	NA	" 1.786980"	"  4.258020"	NA	NA	NA	NA	" 3.203830"	NA	"-1.054180"	NA	"-1.610670"	NA	" 2.123390"	"-1.450390"	"-2.134620"	"-1.080440"
"Slc4a7"	" 1.161680"	" 1.863470"	NA	" 2.165250"	" 1.003570"	NA	NA	"-1.214840"	" -1.916620"	" -2.218410"	" 1.448710"	NA	NA	NA	" 1.501860"	" 2.411110"	"  1.249420"	NA	NA	" 2.464260"	" 0.962400"	" 1.207080"	NA	NA	"-0.958167"	" 1.260240"	NA	"-1.204020"
"Arhgef3"	"-0.794573"	NA	NA	" 1.030340"	" 1.824910"	" 1.155360"	NA	NA	NA	" -1.333980"	NA	NA	NA	" -1.640400"	NA	NA	"  1.144900"	NA	NA	NA	" 0.960386"	" 0.938543"	" 1.733120"	" 1.063560"	NA	" 1.242190"	" 1.548600"	NA
"Tmem110"	" 1.011190"	" 1.998080"	" 0.986897"	" 2.635210"	" 1.624020"	NA	NA	NA	" -1.995680"	" -2.632810"	NA	NA	"-1.539370"	" -2.176490"	NA	" 1.385630"	NA	NA	"-1.249580"	" 1.383230"	NA	" 1.640410"	NA	NA	NA	" 1.638010"	NA	NA
"Cdkn3"	" 0.825052"	NA	"-1.694930"	"-4.377130"	"-5.202180"	"-3.507250"	NA	NA	"  1.302260"	"  4.809520"	" 0.860775"	NA	" 1.730650"	"  5.237910"	NA	NA	" -1.020870"	NA	" 4.181310"	NA	"-1.056590"	NA	"-1.534290"	NA	" 3.667900"	"-1.141620"	"-1.570010"	NA
"Samd4"	"-1.490520"	"-3.814710"	NA	"-5.173850"	"-3.683330"	NA	NA	NA	"  3.291670"	"  4.650810"	NA	NA	NA	"  3.788700"	NA	"-3.935050"	NA	NA	NA	"-3.412010"	NA	NA	NA	" 3.017490"	" 4.376630"	NA	NA	" 3.137830"
"Ang,Rnase4"	"-1.410760"	"-3.161480"	"-1.750720"	"-4.755740"	"-3.344980"	"-1.594260"	NA	" 0.870078"	"  2.620790"	"  4.215060"	"-1.816030"	NA	" 1.345450"	"  2.939720"	"-1.275340"	"-3.751990"	" -2.341230"	NA	" 1.003750"	"-3.211310"	"-1.935970"	NA	NA	" 2.193210"	" 3.787480"	NA	NA	" 2.783730"
"Trav14d-3-dv8"	"-2.349830"	NA	NA	" 0.000000"	" 0.000000"	NA	NA	" 2.108360"	NA	"  0.000000"	"-2.007360"	NA	NA	"  0.000000"	"-1.765890"	"-3.158640"	NA	NA	" 0.000000"	"-2.917170"	NA	NA	NA	NA	" 0.000000"	NA	NA	NA
"Mrpl52"	" 1.354590"	" 2.711290"	" 1.356700"	" 1.681950"	NA	"-1.029340"	NA	"-1.422760"	" -2.779460"	" -1.750120"	" 1.031110"	NA	"-1.680180"	NA	" 1.099280"	" 2.590700"	"  1.236110"	NA	" 0.908753"	" 2.658870"	" 1.559590"	" 1.477450"	NA	"-1.233840"	NA	" 1.545620"	NA	"-1.113250"
"Mmp14"	" 6.711650"	" 9.689850"	" 2.978200"	"10.613800"	" 3.902160"	" 0.923957"	NA	"-8.282430"	"-11.260600"	"-12.184600"	" 6.567290"	NA	"-3.122560"	" -4.046520"	" 8.138060"	" 9.383570"	"  2.671920"	NA	"-1.230240"	"10.954300"	" 2.816280"	" 9.442920"	" 2.731270"	NA	NA	"11.013700"	" 2.875630"	NA
"Spata13"	" 1.136460"	" 1.908420"	NA	" 2.887660"	" 1.751200"	" 0.979239"	NA	"-1.415120"	" -2.187080"	" -3.166320"	" 1.379040"	NA	NA	" -1.508620"	" 1.657700"	" 1.719260"	NA	NA	"-1.168400"	" 1.997920"	NA	" 1.937320"	NA	NA	"-0.950340"	" 2.215980"	NA	NA
"5031414D18Rik"	"-1.067980"	"-1.248570"	NA	NA	NA	NA	NA	" 1.088430"	"  1.269020"	NA	NA	NA	NA	NA	NA	NA	"  1.455060"	" 1.635660"	" 1.090560"	NA	" 1.131030"	" 0.995289"	" 2.063270"	" 2.243860"	" 1.698770"	" 0.974844"	" 1.739240"	NA
"Acod1"	" 5.279970"	" 9.948830"	" 4.668860"	"11.865000"	" 6.585000"	" 1.916140"	NA	"-5.225950"	" -9.894810"	"-11.810900"	" 5.437100"	NA	"-4.511730"	" -6.427870"	" 5.383080"	"10.163100"	"  4.883150"	NA	"-1.701850"	"10.109100"	" 4.726020"	"10.834500"	" 5.554520"	NA	NA	"10.780500"	" 5.397390"	NA
"Trim52"	" 0.000000"	NA	NA	NA	" 0.000000"	NA	NA	" 0.000000"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Rap2a"	"-0.965152"	"-1.249720"	NA	NA	NA	" 0.868370"	NA	" 1.342290"	"  1.626850"	NA	NA	NA	" 0.773115"	NA	"-0.853736"	"-0.990450"	NA	NA	NA	"-1.367590"	NA	NA	NA	" 1.020400"	NA	NA	NA	NA
"Ube2e2"	" 1.138370"	" 2.501590"	" 1.363220"	" 3.331840"	" 2.193470"	NA	NA	NA	" -2.141080"	" -2.971330"	" 1.149160"	NA	"-1.352430"	" -2.182680"	NA	" 2.141670"	"  1.003300"	NA	"-1.190170"	" 1.781160"	" 0.992518"	" 1.963070"	NA	NA	NA	" 1.602560"	NA	NA
"Gch1"	" 0.817622"	" 2.519740"	" 1.702120"	" 3.539390"	" 2.721770"	" 1.019650"	NA	"-0.913988"	" -2.616100"	" -3.635750"	NA	NA	"-1.765760"	" -2.785410"	" 0.850347"	" 2.953280"	"  2.135660"	NA	NA	" 3.049650"	" 2.199300"	" 3.022660"	" 2.205030"	NA	NA	" 3.119020"	" 2.268680"	NA
"Gm43305"	" 1.311860"	" 1.601790"	NA	" 3.761160"	" 2.449300"	" 2.159370"	NA	"-0.926996"	" -1.216920"	" -3.376290"	" 1.551930"	NA	NA	" -2.209230"	" 1.167060"	" 0.832327"	NA	NA	"-2.928840"	NA	NA	" 1.343660"	NA	NA	"-2.417500"	" 0.958788"	NA	NA
"Phf11b"	" 1.629830"	" 5.023260"	" 3.393430"	" 6.682690"	" 5.052860"	" 1.659430"	NA	"-1.795150"	" -5.188580"	" -6.848010"	" 1.959630"	NA	"-3.063630"	" -4.723060"	" 2.124950"	" 5.811580"	"  4.181750"	" 0.788318"	"-0.871110"	" 5.976900"	" 3.851950"	" 5.989120"	" 4.359280"	NA	NA	" 6.154430"	" 4.029480"	NA
"Phf11d"	" 1.293450"	" 4.636980"	" 3.343540"	" 6.566160"	" 5.272720"	" 1.929180"	NA	"-1.380000"	" -4.723540"	" -6.652720"	" 1.963280"	NA	"-2.673700"	" -4.602880"	" 2.049840"	" 5.682300"	"  4.388850"	" 1.045320"	"-0.883865"	" 5.768860"	" 3.719020"	" 6.079320"	" 4.785880"	" 1.442340"	NA	" 6.165880"	" 4.116040"	NA
"Spry2"	"-1.083300"	"-1.941830"	NA	"-1.350800"	NA	NA	NA	NA	"  1.698180"	"  1.107150"	"-1.003310"	NA	NA	NA	NA	"-1.121100"	NA	NA	NA	"-0.877453"	NA	NA	" 0.968351"	" 1.826880"	" 1.235850"	NA	" 0.888362"	" 1.006150"
"Uggt2"	"-2.228700"	"-2.369140"	NA	NA	NA	NA	NA	" 2.077800"	"  2.218240"	"  1.673470"	NA	NA	NA	NA	NA	"-2.175960"	NA	NA	NA	"-2.025060"	NA	"-1.932990"	NA	NA	NA	"-1.782080"	NA	NA
"RP24-502J3.1"	" 2.686280"	" 3.893600"	" 1.207330"	" 2.607260"	NA	"-1.286350"	NA	"-1.635130"	" -2.842460"	" -1.556110"	" 2.503660"	NA	"-1.389940"	NA	" 1.452520"	" 3.624340"	NA	NA	NA	" 2.573200"	" 1.120680"	NA	"-1.348280"	"-2.555610"	NA	NA	NA	"-2.286350"
"Lifr"	"-1.691470"	"-3.923750"	"-2.232280"	"-4.337180"	"-2.645710"	NA	NA	" 1.371530"	"  3.603810"	"  4.017240"	"-1.982560"	NA	" 1.941190"	"  2.354620"	"-1.662620"	"-4.200020"	" -2.508560"	NA	NA	"-3.880080"	"-2.217460"	NA	NA	" 2.992410"	" 3.405840"	NA	NA	" 3.268690"
"Ank,Mir7117"	"-0.929099"	"-2.136070"	"-1.206970"	"-2.351160"	"-1.422060"	NA	NA	" 1.046570"	"  2.253540"	"  2.468630"	"-0.736768"	NA	" 1.399300"	"  1.614390"	"-0.854238"	"-2.168190"	" -1.239090"	NA	NA	"-2.285660"	"-1.431420"	NA	NA	" 1.303010"	" 1.518100"	"-0.950531"	NA	" 1.335130"
"Gm27718,Gm27913,Gm27957,Pvt1"	" 2.218870"	NA	"-2.734870"	NA	NA	NA	NA	"-2.630170"	NA	NA	NA	"-2.365200"	NA	NA	NA	" 2.191960"	NA	" 2.707970"	NA	" 2.603270"	" 2.338290"	NA	"-3.106490"	NA	NA	NA	NA	"-3.079580"
"Ly6e"	" 1.425000"	" 3.243880"	" 1.818880"	" 3.406350"	" 1.981350"	NA	NA	"-1.698260"	" -3.517150"	" -3.679610"	" 1.357160"	NA	"-1.886720"	" -2.049190"	" 1.630420"	" 3.174310"	"  1.749310"	NA	NA	" 3.447570"	" 1.817150"	" 2.577970"	NA	NA	NA	" 2.851230"	NA	NA
"Apobec3"	" 1.524060"	" 2.482770"	" 0.958713"	" 3.308070"	" 1.784010"	NA	NA	"-1.454290"	" -2.413000"	" -3.238300"	" 1.587850"	NA	"-0.894926"	" -1.720220"	" 1.518080"	" 2.705750"	"  1.181690"	NA	NA	" 2.635980"	" 1.117910"	" 2.635700"	NA	NA	NA	" 2.565940"	NA	NA
"Fam83f"	" 1.529990"	" 2.006760"	NA	" 1.735610"	NA	NA	NA	NA	" -1.885100"	" -1.613950"	" 2.011560"	NA	NA	NA	" 1.889900"	" 2.530930"	NA	NA	NA	" 2.409270"	NA	NA	NA	NA	NA	NA	NA	NA
"Nr4a1"	"-1.966010"	"-3.569130"	"-1.603120"	"-4.823740"	"-2.857730"	NA	NA	" 1.941610"	"  3.544730"	"  4.799340"	"-1.573230"	NA	" 1.995900"	"  3.250510"	"-1.548830"	"-2.814120"	NA	NA	NA	"-2.789720"	NA	NA	NA	" 2.680440"	" 3.935050"	NA	NA	" 1.925430"
"Il7r"	"-0.975318"	"-1.916620"	"-0.941301"	"-1.483950"	NA	NA	NA	" 1.309880"	"  2.251180"	"  1.818510"	NA	" 0.878833"	" 1.820130"	"  1.387470"	NA	NA	NA	" 1.455860"	" 1.023190"	"-0.795320"	NA	NA	" 0.975781"	" 1.917080"	" 1.484410"	NA	NA	NA
